ten_anh,ground_truth,ung_vien_duoc_chon,dung_bien_so,co_ung_vien_dung,ly_do_chon,nhom_loi
001.jpg,38A27374,38A27374,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.975,Đúng
187.jpg,59C165515,59C165515,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.961,Đúng
188.jpg,52U84577,52U84577,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.987,Đúng
189.jpg,59U191897,59U191897,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.903,Đúng
190.jpg,59M153773,59M153773,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.896,Đúng
191.jpg,59C165331,59C165331,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.889,Đúng
192.jpg,59C165331,59C165331,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.931,Đúng
193.jpg,59F107509,59F107509,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.926,Đúng
194.jpg,59F107509,59F107509,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.886,Đúng
195.jpg,59N169575,59N169575,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.953,Đúng
196.jpg,59N169575,59N169575,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.903,Đúng
197.jpg,59N169575,59N169575,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.955,Đúng
198.jpg,59B134917,59B134917,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.919,Đúng
199.jpg,59B134917,59B134917,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.969,Đúng
200.jpg,59V200285,59Z00285,False,False,Hợp cấu trúc=True; sửa 1 ký tự; xuất hiện 2 lần; OCR tin cậy 0.892,OCR đọc thiếu ký tự
