stt,ten_anh,ground_truth,du_doan_cuoi,du_doan_module_goc,khop_voi_module_goc,dung_bien_so,accuracy_ky_tu,edit_distance,hop_cau_truc_du_doan,so_box_yolo,fallback_anh_goc,so_bien_the_co_text,so_ung_vien,co_ung_vien_dung,ung_vien_thang_hop_cau_truc,ung_vien_thang_so_sua,ung_vien_thang_so_lan,ung_vien_thang_conf,bien_the_thang,ly_do_chon,thoi_gian_ms,nhom_loi
1,001.jpg,38A27374,38A27374,38A27374,True,True,1.0,0,True,0,True,3,2,True,True,0.0,2,0.9747164845466614,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.975,733.6229000065941,Đúng
96,096.jpg,29A23950,29A23950,29A23950,True,True,1.0,0,True,1,False,3,2,True,True,0.0,2,0.9684438705444336,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.968,431.39220000011846,Đúng
97,097.jpg,51G48154,51G48154,51G48154,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9775684475898743,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.978,424.6329000015976,Đúng
98,098.jpg,51F58214,51F58214,51F58214,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9843928217887878,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.984,422.3901999939699,Đúng
99,099.jpg,51F22261,51F22261,51F22261,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9841823577880859,crop 0 - Ảnh Otsu,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.984,455.2493999945,Đúng
100,100.jpg,60A35981,60A35981,60A35981,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9824457168579102,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.982,425.093800004106,Đúng
101,101.jpg,51F07973,51F07973,51F07973,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9247387051582336,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.925,441.1054000083823,Đúng
102,102.jpg,51F15585,51F15585,51F15585,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9499610066413879,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.950,427.19190000207163,Đúng
103,103.jpg,51G20536,51G20536,51G20536,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9820863008499146,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.982,420.4214000055799,Đúng
104,104.jpg,50Z0618,50Z0618,50Z0618,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9561218023300171,crop 0 - Ảnh Otsu,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.956,431.32809999224264,Đúng
105,105.jpg,51F07568,51F07568,51F07568,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9760823249816895,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.976,495.34500000299886,Đúng
106,106.jpg,51F88270,51F88270,51F88270,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9863071441650391,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.986,440.61399999191053,Đúng
107,107.jpg,51F86988,51F86988,51F86988,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9805901646614075,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.981,434.1641999926651,Đúng
108,108.jpg,51F15585,51F15585,51F15585,True,True,1.0,0,True,1,False,3,2,True,True,0.0,2,0.982930064201355,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.983,433.072900006664,Đúng
109,109.jpg,30V3993,30V3993,30V3993,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9871817231178284,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.987,466.2318999908166,Đúng
110,110.jpg,51F31118,51F31118,51F31118,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9790072441101074,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.979,425.93879999185447,Đúng
111,111.jpg,51A85325,51A85325,51A85325,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9790700078010559,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.979,428.3813999936683,Đúng
112,112.jpg,51A01204,51A01204,51A01204,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9618245959281921,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.962,428.2322000071872,Đúng
113,113.jpg,59M190977,59M190977,59M190977,True,True,1.0,0,True,1,False,3,2,True,True,0.0,2,0.9388206899166107,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.939,707.8923999943072,Đúng
114,114.jpg,59E113417,59E113417,59E113417,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9656344652175903,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.966,639.4830000062939,Đúng
115,115.jpg,63B957926,63B957926,63B957926,True,True,1.0,0,True,1,False,3,1,True,True,1.0,3,0.9356963038444519,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 1 ký tự; xuất hiện 3 lần; OCR tin cậy 0.936,588.9942000067094,Đúng
116,116.jpg,59V107473,59V107473,59V107473,True,True,1.0,0,True,1,False,3,2,True,True,0.0,2,0.9385985136032104,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.939,589.7219000034966,Đúng
117,117.jpg,59C100507,59C100507,59C100507,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9640021026134491,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.964,628.3008999889717,Đúng
118,118.jpg,84K34900,84K34900,84K34900,True,True,1.0,0,True,1,False,2,2,True,True,0.0,1,0.881435751914978,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 1 lần; OCR tin cậy 0.881,564.7567000123672,Đúng
119,119.jpg,59B135199,59B135199,59B135199,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9318113029003143,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.932,596.8270000012126,Đúng
120,120.jpg,51L41138,51L41138,51L41138,True,True,1.0,0,True,1,False,3,2,True,True,0.0,2,0.963523268699646,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.964,612.9750999971293,Đúng
121,121.jpg,59V216023,59V216023,59V216023,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9432312548160553,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.943,592.0012999995379,Đúng
122,122.jpg,65F131532,65F131532,65F131532,True,True,1.0,0,True,1,False,3,2,True,True,0.0,2,0.9272704422473907,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.927,609.1767000034451,Đúng
123,123.jpg,59F138151,59F138151,59F138151,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9584267139434814,crop 0 - Ảnh Otsu,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.958,601.3062000129139,Đúng
124,124.jpg,59F120158,59F120158,59F120158,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9455491304397583,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.946,618.1931000028271,Đúng
125,125.jpg,47B142872,47B142872,47B142872,True,True,1.0,0,True,1,False,3,1,True,True,1.0,3,0.9195347726345062,crop 0 - Ảnh Otsu,Hợp cấu trúc=True; sửa 1 ký tự; xuất hiện 3 lần; OCR tin cậy 0.920,591.8835000047693,Đúng
126,126.jpg,59G133671,59G133671,59G133671,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9377015829086304,crop 0 - Ảnh Otsu,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.938,601.7925999913132,Đúng
127,127.jpg,82K37689,82K37689,82K37689,True,True,1.0,0,True,1,False,3,2,True,True,0.0,1,0.9001557230949402,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 1 lần; OCR tin cậy 0.900,610.5448000016622,Đúng
128,128.jpg,59L184759,59L184759,59L184759,True,True,1.0,0,True,1,False,3,2,True,True,0.0,2,0.9315925240516663,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.932,609.5831999991788,Đúng
129,129.jpg,54T30255,54T30255,54T30255,True,True,1.0,0,True,1,False,3,2,True,True,0.0,2,0.933338850736618,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.933,601.2342000030912,Đúng
130,130.jpg,54S89169,54S89169,54S89169,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9092223346233368,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.909,605.1925999927334,Đúng
131,131.jpg,59T161654,59T161654,59T161654,True,True,1.0,0,True,1,False,3,2,True,True,0.0,1,0.9229134917259216,crop 0 - Ảnh Otsu,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 1 lần; OCR tin cậy 0.923,599.3314000079408,Đúng
132,132.jpg,60B628032,60B628032,60B628032,True,True,1.0,0,True,1,False,3,2,True,True,0.0,2,0.9167446196079254,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.917,589.2134000023361,Đúng
133,133.jpg,59S115133,59S115133,59S115133,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.92113396525383,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.921,596.7762999935076,Đúng
134,134.jpg,59V243654,59V243654,59V243654,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9385016858577728,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.939,625.0116000010166,Đúng
135,135.jpg,59L159150,59L159150,59L159150,True,True,1.0,0,True,1,False,3,2,True,True,0.0,2,0.9472123086452484,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.947,595.7342999899993,Đúng
136,136.jpg,59E168785,59E168785,59E168785,True,True,1.0,0,True,1,False,3,2,True,True,0.0,2,0.9197661280632019,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.920,596.0564999986673,Đúng
137,137.jpg,59L194176,59L194176,59L194176,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9718197286128998,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.972,604.0716999996221,Đúng
138,138.jpg,70B155132,70B155132,70B155132,True,True,1.0,0,True,1,False,3,2,True,True,1.0,2,0.9341644942760468,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 1 ký tự; xuất hiện 2 lần; OCR tin cậy 0.934,592.0666000019992,Đúng
139,139.jpg,60B325220,60B325220,60B325220,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.937774658203125,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.938,603.2558000006247,Đúng
140,140.jpg,50N107428,50N107428,50N107428,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9748528599739075,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.975,594.9556000123266,Đúng
141,141.jpg,55P62004,55P62004,55P62004,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9748745560646057,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.975,598.4425000060583,Đúng
142,142.jpg,81B126810,81B126810,81B126810,True,True,1.0,0,True,1,False,2,1,True,True,0.0,2,0.8959150612354279,crop 0 - Ảnh Otsu,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.896,527.187400002731,Đúng
143,143.jpg,59T138506,59T138506,59T138506,True,True,1.0,0,True,1,False,3,2,True,True,0.0,1,0.9874909818172455,crop 0 - Ảnh Otsu,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 1 lần; OCR tin cậy 0.987,602.3284999973839,Đúng
144,144.jpg,95P26027,95P26027,95P26027,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.954793244600296,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.955,611.2264000112191,Đúng
145,145.jpg,51U83423,51U83423,51U83423,True,True,1.0,0,True,1,False,3,2,True,True,0.0,2,0.9697618186473846,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.970,593.1287999992492,Đúng
146,146.jpg,59S110393,59S110393,59S110393,True,True,1.0,0,True,1,False,3,2,True,True,0.0,2,0.9510220885276794,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.951,587.6189999980852,Đúng
147,147.jpg,66L135224,66L135224,66L135224,True,True,1.0,0,True,1,False,3,2,True,True,0.0,2,0.9834348857402802,crop 0 - Ảnh Otsu,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.983,590.1693000050727,Đúng
148,148.jpg,69U13670,69U13670,69U13670,True,True,1.0,0,True,1,False,3,2,True,True,0.0,2,0.9350249469280243,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.935,590.2190999913728,Đúng
149,149.jpg,59H167791,59H167791,59H167791,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9555043578147888,crop 0 - Ảnh Otsu,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.956,622.735199998715,Đúng
150,150.jpg,78D108469,78D108469,78D108469,True,True,1.0,0,True,1,False,3,2,True,True,0.0,1,0.9086586534976959,crop 0 - Ảnh Otsu,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 1 lần; OCR tin cậy 0.909,608.9381000056164,Đúng
151,151.jpg,52U62655,52U62655,52U62655,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9548912048339844,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.955,602.5514000066323,Đúng
152,152.jpg,77L100895,77L100895,77L100895,True,True,1.0,0,True,1,False,3,3,True,True,0.0,1,0.936456948518753,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 1 lần; OCR tin cậy 0.936,592.0595999923535,Đúng
153,153.jpg,59FA00591,59FA00591,59FA00591,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9782463014125824,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.978,597.3048000014387,Đúng
154,154.jpg,54P28057,54P28057,54P28057,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9704194068908691,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.970,600.1339000067674,Đúng
155,155.jpg,52F33586,52F33586,52F33586,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.975479930639267,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.975,595.5708999972558,Đúng
156,156.jpg,59M161406,59M161406,59M161406,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.909131646156311,crop 0 - Ảnh Otsu,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.909,592.9074000014225,Đúng
157,157.jpg,61D112878,61D112878,61D112878,True,True,1.0,0,True,1,False,3,3,True,True,0.0,1,0.9079715013504028,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 1 lần; OCR tin cậy 0.908,588.4649000072386,Đúng
158,158.jpg,49L101241,49L101241,49L101241,True,True,1.0,0,True,1,False,3,2,True,True,0.0,2,0.965024471282959,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.965,601.2182000122266,Đúng
159,159.jpg,59E102993,59E102993,59E102993,True,True,1.0,0,True,1,False,3,2,True,True,0.0,2,0.9766642153263092,crop 0 - Ảnh Otsu,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.977,592.0030000124825,Đúng
160,160.jpg,60C135331,60C135331,60C135331,True,True,1.0,0,True,1,False,3,2,True,True,0.0,2,0.9274623095989227,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.927,594.3918999982998,Đúng
161,161.jpg,59H115793,59H115793,59H115793,True,True,1.0,0,True,1,False,3,2,True,True,0.0,2,0.9366789162158966,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.937,603.5024000011617,Đúng
162,162.jpg,59X275198,59X275198,59X275198,True,True,1.0,0,True,1,False,3,2,True,True,0.0,2,0.9317111074924469,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.932,592.9860000032932,Đúng
163,163.jpg,54R30018,54R30018,54R30018,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9868117272853851,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.987,588.1404000101611,Đúng
164,164.jpg,59D150216,59D150216,59D150216,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9336605668067932,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.934,604.2366000037873,Đúng
165,165.jpg,54U54316,54U54316,54U54316,True,True,1.0,0,True,1,False,3,2,True,True,0.0,2,0.9423379302024841,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.942,596.4062999992166,Đúng
166,166.jpg,59V204212,59V204212,59V204212,True,True,1.0,0,True,1,False,3,2,True,True,0.0,2,0.9160471856594086,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.916,598.5366000095382,Đúng
167,167.jpg,59K122323,59K122323,59K122323,True,True,1.0,0,True,1,False,3,2,True,True,0.0,2,0.9439764320850372,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.944,600.603200000478,Đúng
168,168.jpg,59X267951,59X267951,59X267951,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9308205842971802,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.931,607.5842999998713,Đúng
169,169.jpg,59P171756,59P171756,59P171756,True,True,1.0,0,True,2,False,3,1,True,True,0.0,3,0.9648794233798981,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.965,637.3469999962253,Đúng
170,170.jpg,59P211073,59P211073,59P211073,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9000592231750488,crop 0 - Ảnh Otsu,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.900,589.9410999991233,Đúng
171,171.jpg,59V244588,59V244588,59V244588,True,True,1.0,0,True,1,False,3,3,True,True,0.0,1,0.9024547934532166,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 1 lần; OCR tin cậy 0.902,599.8249999975087,Đúng
172,172.jpg,50N102654,50N102654,50N102654,True,True,1.0,0,True,1,False,3,2,True,True,0.0,2,0.9731171131134033,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.973,603.2726999983424,Đúng
173,173.jpg,59K196591,59K196591,59K196591,True,True,1.0,0,True,1,False,3,2,True,True,0.0,2,0.9021160304546356,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.902,607.5053999957163,Đúng
174,174.jpg,55P67093,55P67093,55P67093,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9426519572734833,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.943,604.2296999949031,Đúng
175,175.jpg,59A303615,59A303615,59A303615,True,True,1.0,0,True,1,False,3,1,True,True,1.0,3,0.95556640625,crop 0 - Ảnh Otsu,Hợp cấu trúc=True; sửa 1 ký tự; xuất hiện 3 lần; OCR tin cậy 0.956,601.8533000024036,Đúng
176,176.jpg,55P60839,55P60839,55P60839,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9647625684738159,crop 0 - Ảnh Otsu,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.965,606.8335000018124,Đúng
177,177.jpg,59U151595,59U151595,59U151595,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9296991527080536,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.930,599.0827000059653,Đúng
178,178.jpg,59S231606,59S231606,59S231606,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9722990393638611,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.972,599.9668000004021,Đúng
179,179.jpg,72T28629,72T28629,72T28629,True,True,1.0,0,True,1,False,3,2,True,True,0.0,2,0.9249049127101898,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.925,595.8241000043927,Đúng
180,180.jpg,59C128740,59C128740,59C128740,True,True,1.0,0,True,1,False,3,2,True,True,0.0,2,0.9305398166179657,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.931,593.9854000025662,Đúng
181,181.jpg,59S223245,59S223245,59S223245,True,True,1.0,0,True,1,False,3,2,True,True,0.0,2,0.9346368312835693,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.935,670.29249999905,Đúng
182,182.jpg,47K29950,47K29950,47K29950,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9247212707996368,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.925,710.1553999964381,Đúng
183,183.jpg,50XA5535,50XA5535,50XA5535,True,True,1.0,0,True,1,False,3,2,True,True,0.0,2,0.8985355496406555,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.899,656.9665999995777,Đúng
184,184.jpg,59M152576,59M152576,59M152576,True,True,1.0,0,True,1,False,3,2,True,True,0.0,2,0.9155261218547821,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.916,616.5680999984033,Đúng
185,185.jpg,59E158720,59E158720,59E158720,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9749468266963959,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.975,590.6818999937968,Đúng
186,186.jpg,59B129117,59B129117,59B129117,True,True,1.0,0,True,1,False,3,2,True,True,0.0,2,0.918070524930954,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.918,607.421599997906,Đúng
187,187.jpg,59C165515,59C165515,59C165515,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9612573981285095,crop 0 - Ảnh Otsu,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.961,1396.851700003026,Đúng
188,188.jpg,52U84577,52U84577,52U84577,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9866288006305695,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.987,1890.358600008767,Đúng
189,189.jpg,59U191897,59U191897,59U191897,True,True,1.0,0,True,1,False,3,2,True,True,0.0,2,0.9025658369064331,crop 0 - Ảnh gốc,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.903,1711.429799994221,Đúng
190,190.jpg,59M153773,59M153773,59M153773,True,True,1.0,0,True,1,False,3,2,True,True,0.0,2,0.8959374129772186,crop 0 - Ảnh CLAHE,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.896,1516.6467999952147,Đúng
191,191.jpg,59C165331,59C165331,59C165331,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.8885363638401031,crop 0 - Ảnh Otsu,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.889,2037.580699994578,Đúng
192,192.jpg,59C165331,59C165331,59C165331,True,True,1.0,0,True,1,False,3,1,True,True,0.0,3,0.9313282668590546,crop 0 - Ảnh Otsu,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.931,1521.8419999873731,Đúng
